GPU Name,Price (per hour),Download Speed (Mbps),CPU Details,RAM,Storage
1x NVIDIA GeForce RTX 3090 24GB,0.24,1000,56x AMD EPYC 7551P,96 GB RAM,957 GB NVMe SSD
3x NVIDIA GeForce RTX 3090 24GB,0.24,1000,64x AMD EPYC 7551P,119 GB RAM,2880 GB NVMe SSD
1x NVIDIA GeForce RTX 3090 24GB,0.24,1000,32x Intel Xeon E5-2687W v3,82 GB RAM,2334 GB NVMe SSD
1x NVIDIA GeForce RTX 3090 24GB,0.24,1000,56x AMD EPYC 7551P,102 GB RAM,100 GB NVMe SSD
1x NVIDIA GeForce RTX 3090 24GB,0.24,1000,54x AMD EPYC 7551P,39 GB RAM,2154 GB NVMe SSD
1x NVIDIA GeForce RTX 3090 24GB,0.25,1000,12x AMD Ryzen 5 5600X,24 GB RAM,650 GB NVMe SSD
1x NVIDIA GeForce RTX 3090 24GB,0.25,1000,48x AMD EPYC 7551P,84 GB RAM,125 GB NVMe SSD
1x NVIDIA GeForce RTX 3090 24GB,0.25,1000,12x AMD Ryzen 5 5600X,24 GB RAM,650 GB NVMe SSD
1x NVIDIA GeForce RTX 3090 24GB,0.25,1000,56x AMD EPYC 7551P,63 GB RAM,562 GB NVMe SSD
2x NVIDIA GeForce RTX 3090 24GB,0.30,1000,12x AMD Ryzen 9 7900,12 GB RAM,1310 GB NVMe SSD
2x NVIDIA GeForce RTX 3090 24GB,0.30,1000,20x AMD Ryzen 9 7900,40 GB RAM,788 GB NVMe SSD
2x NVIDIA GeForce RTX 3090 24GB,0.30,1000,12x AMD Ryzen 9 7900,28 GB RAM,1400 GB NVMe SSD
1x NVIDIA GeForce RTX 3090 24GB,0.30,1000,18x AMD Ryzen 9 7900,20 GB RAM,1050 GB NVMe SSD
1x NVIDIA GeForce RTX 3060 12GB,0.10,1000,6x Intel Xeon E5-2637 v4,30 GB RAM,406 GB NVMe SSD
1x NVIDIA RTX A4000 16GB,0.12,1000,16x AMD EPYC 7763,208 GB RAM,40 GB NVMe SSD
1x NVIDIA RTX A4000 16GB,0.12,1000,12x AMD Ryzen 5 5600X,24 GB RAM,480 GB NVMe SSD
1x NVIDIA RTX A4000 16GB,0.12,1000,12x AMD Ryzen 5 5600X,24 GB RAM,530 GB NVMe SSD
2x NVIDIA RTX A4000 16GB,0.12,1000,16x AMD Ryzen 7 5800,24 GB RAM,630 GB NVMe SSD
2x NVIDIA RTX A4000 16GB,0.13,500,20x Intel Xeon E5-2620 v3,42 GB RAM,50 GB NVMe SSD
1x NVIDIA RTX A4000 16GB,0.13,1000,34x AMD EPYC 7551P,61 GB RAM,1079 GB NVMe SSD
5x NVIDIA RTX A4000 16GB,0.13,500,40x Intel Xeon E5-2690 v3,127 GB RAM,2292 GB NVMe SSD
3x NVIDIA RTX A4000 16GB,0.13,500,24x Intel Xeon E5-2620 v3,54 GB RAM,676 GB NVMe SSD
3x NVIDIA RTX A4000 16GB,0.13,1000,54x AMD EPYC 7551P,82 GB RAM,2592 GB NVMe SSD
2x NVIDIA RTX A4000 16GB,0.13,1000,10x AMD EPYC 7551P,20 GB RAM,550 GB NVMe SSD
3x NVIDIA RTX A4000 16GB,0.13,1000,56x AMD EPYC 7551P,111 GB RAM,2374 GB NVMe SSD
4x NVIDIA RTX A4000 16GB,0.13,1000,62x AMD EPYC 7551P,135 GB RAM,2810 GB NVMe SSD
5x NVIDIA RTX A4000 16GB,0.13,1000,64x AMD EPYC 7551P,143 GB RAM,3300 GB NVMe SSD
